"SHIPPING_ID","POST_CODE","CARRIER"
"SH11704","NE37 3LS","DHL"
"SH11705","IM7 2ED","FedEx"
"SH11706","ME13 8SA","UPS"
"SH11707","LL57 3EY","Evri"
"SH11708","SL2 5AB","Royal Mail"
"SH11709","E8 1BG","DHL"
"SH11710","B74 3NB","UPS"
"SH11711","TS26 0ZL","FedEx"
"SH11712","W2 3EL","Royal Mail"
"SH11713","DE6 1PA","Evri"
"SH11714","NR20 3HA","Royal Mail"
"SH11715","WS10 0DP","Evri"
"SH11716","MK40 3AU","FedEx"
"SH11717","B90 8BD","Royal Mail"
"SH11718","OL14 5NW","Evri"
"SH11719","CF15 7UW","UPS"
"SH11720","IP10 0LY","DHL"
"SH11721","LL55 1YB","Royal Mail"
"SH11722","S63 0EB","Evri"
"SH11723","CH44 9BW","UPS"
"SH11724","GL1 3QJ","UPS"
"SH11725","DH1 4JL","DHL"
"SH11726","WV5 8JP","FedEx"
"SH11727","BT14 6AP","Royal Mail"
"SH11728","SA3 5BL","DHL"
"SH11729","EH10 5RH","DHL"
"SH11730","SE16 4LA","DHL"
"SH11731","CO1 1WB","FedEx"
"SH11732","TA2 6JQ","Royal Mail"
"SH11733","SA6 6DJ","UPS"
"SH11734","TD1 3AB","Evri"
"SH11735","TA9 4RY","UPS"
"SH11736","SE18 7BZ","DHL"
"SH11737","NG34 7SD","DHL"
"SH11738","MK42 7BP","Royal Mail"
"SH11739","NG24 3FP","UPS"
"SH11740","NP11 6GY","Royal Mail"
"SH11741","BN16 2HW","UPS"
"SH11742","TR26 2EH","UPS"
"SH11743","GL6 7LS","DHL"
"SH11744","SL4 3NU","FedEx"
"SH11745","B36 0PZ","UPS"
"SH11746","N22 6HH","Evri"
"SH11747","BS35 3LR","FedEx"
"SH11748","L8 3UU","UPS"
"SH11749","BS7 9XH","UPS"
"SH11750","EX20 1SH","DHL"
"SH11751","PE8 5NE","FedEx"
"SH11752","LS24 8DQ","UPS"
"SH11753","WS11 8LX","Evri"
"SH11754","BA5 2HU","FedEx"
"SH11755","BS3 3JU","DHL"
"SH11756","WD6 1GF","FedEx"
"SH11757","WF1 3DD","UPS"
"SH11758","L3 4ER","DHL"
"SH11759","LL65 3YW","Evri"
"SH11760","CR0 4DS","Evri"
"SH11761","PO30 1JH","FedEx"
"SH11762","RM15 5FR","UPS"
"SH11763","CM15 0PG","UPS"
"SH11764","CR6 9RN","UPS"
"SH11765","LS16 8EH","Evri"
"SH11766","DY4 0RP","Royal Mail"
"SH11767","G3 8HN","Evri"
"SH11768","NP23 4RA","Royal Mail"
"SH11769","NP13 3EH","Evri"
"SH11770","CO2 9PJ","FedEx"
"SH11771","LS14 3EJ","FedEx"
"SH11772","M38 9GX","Evri"
"SH11773","BA1 1DA","UPS"
"SH11774","NP7 9AQ","Royal Mail"
"SH11775","BA2 1LZ","FedEx"
"SH11776","NE4 7SF","FedEx"
"SH11777","EN11 8JG","DHL"
"SH11778","TR20 8RH","UPS"
"SH11779","EN77 1RG","DHL"
"SH11780","FK19 8PH","UPS"
"SH11781","PL21 9EQ","Evri"
"SH11782","CV23 0BS","Evri"
"SH11783","DN18 5RN","FedEx"
"SH11784","TN15 0LJ","UPS"
"SH11785","UB4 8AH","Royal Mail"
"SH11786","EX14 9SA","FedEx"
"SH11787","TN15 9BG","FedEx"
"SH11788","HD1 1QA","Royal Mail"
"SH11789","WD3 5YX","DHL"
"SH11790","LE2 8TS","Evri"
"SH11791","HP19 0GQ","Royal Mail"
"SH11792","TF13 6PN","Evri"
"SH11793","LU5 5HF","DHL"
"SH11794","CA6 4LZ","Evri"
"SH11795","BT36 5BY","UPS"
"SH11796","L37 1LJ","UPS"
"SH11797","NP20 2PH","DHL"
"SH11798","SN7 8JE","FedEx"
"SH11799","AB54 7NJ","Royal Mail"
"SH11800","ST10 1UQ","Evri"
"SH11801","SG12 7LA","DHL"
"SH11802","EN7 6ED","Royal Mail"
"SH11803","KY9 1BB","Evri"
"SH11804","DN4 0FF","FedEx"
"SH11805","SA5 8JD","Evri"
"SH11806","CA15 6HZ","UPS"
"SH11807","TW1 9TH","Evri"
"SH11808","LD8 2LR","FedEx"
"SH11809","DN15 5SD","DHL"
"SH11810","TN34 3BN","Evri"
"SH11811","NN17 1QG","FedEx"
"SH11812","M30 0QQ","DHL"
"SH11813","M43 7FS","Evri"
"SH11814","NN6 9JL","Royal Mail"
"SH11815","TF7 5EJ","UPS"
"SH11816","ST3 2EZ","UPS"
"SH11817","DD11 2PY","Royal Mail"
"SH11818","IP20 9PS","FedEx"
"SH11819","SW4 6AT","Evri"
"SH11820","NE8 4AS","Royal Mail"
"SH11821","NR25 7SE","DHL"
"SH11822","WF4 1NS","Evri"
"SH11823","BS32 0EJ","UPS"
"SH11824","CF24 3LJ","FedEx"
"SH11825","ME15 7UR","Royal Mail"
"SH11826","BA22 8XR","Royal Mail"
"SH11827","PE2 9JG","Royal Mail"
"SH11828","TN22 5JU","Royal Mail"
"SH11829","TW19 7LU","UPS"
"SH11830","DY8 3NA","FedEx"
"SH11831","GY5 7LH","UPS"
"SH11832","HX4 9BX","Royal Mail"
"SH11833","WS10 7JX","DHL"
"SH11834","CV32 7RT","UPS"
"SH11835","ST1 3PY","DHL"
"SH11836","EX21 5AN","FedEx"
"SH11837","CF72 8NU","Evri"
"SH11838","CF45 3YW","UPS"
"SH11839","DA11 8LP","FedEx"
"SH11840","ME9 7TX","Evri"
"SH11841","LN6 0RP","DHL"
"SH11842","DY1 3LT","Royal Mail"
"SH11843","G63 9PZ","FedEx"
"SH11844","CF5 1FU","Evri"
"SH11845","AB51 5AB","Evri"
"SH11846","L21 4PW","DHL"
"SH11847","BS35 2FY","Royal Mail"
"SH11848","BT28 9AB","DHL"
"SH11849","WD3 4EE","Royal Mail"
"SH11850","SN15 2AX","FedEx"
"SH11851","ME10 3GP","DHL"
"SH11852","TF5 0LB","Royal Mail"
"SH11853","B60 3NG","FedEx"
"SH11854","CH7 2LW","UPS"
"SH11855","LE4 0EL","FedEx"
"SH11856","B90 3EJ","DHL"
"SH11857","IP11 2NU","DHL"
"SH11858","M29 8DY","Evri"
"SH11859","BS34 7HQ","UPS"
"SH11860","BB1 4EA","Evri"
"SH11861","TQ5 9LX","FedEx"
"SH11862","CM1 4JQ","UPS"
"SH11863","BS7 9YR","UPS"
"SH11864","CM17 0JD","Royal Mail"
"SH11865","CM7 5EP","Royal Mail"
"SH11866","SY7 0LE","DHL"
"SH11867","NE32 4RJ","FedEx"
"SH11868","OL11 4BZ","DHL"
"SH11869","CT21 6JD","FedEx"
"SH11870","SL4 4BX","DHL"
"SH11871","LL44 2EA","UPS"
"SH11872","BS5 7UY","Evri"
"SH11873","KA3 7QQ","DHL"
"SH11874","GL18 2EE","Royal Mail"
"SH11875","N2 0JS","Evri"
"SH11876","NR31 7AD","FedEx"
"SH11877","S64 8NG","Evri"
"SH11878","WR6 5SP","FedEx"
"SH11879","TN24 8JR","Royal Mail"
"SH11880","BA12 8NL","UPS"
"SH11881","PL25 3UR","FedEx"
"SH11882","CR0 5RU","UPS"
"SH11883","BA12 6FA","Evri"
"SH11884","M4 7AL","FedEx"
"SH11885","E3 3JQ","Evri"
"SH11886","NE10 8LR","Royal Mail"
"SH11887","CA8 2LH","DHL"
"SH11888","NN16 9NR","UPS"
"SH11889","TQ2 7QS","UPS"
"SH11890","TQ8 8DP","Evri"
"SH11891","WV10 7JH","Royal Mail"
"SH11892","B37 5AY","Royal Mail"
"SH11893","HA3 9PS","UPS"
"SH11894","PE28 3GZ","UPS"
"SH11895","EN3 7FS","FedEx"
"SH11896","PL8 1DU","Evri"
"SH11897","SL7 3BU","Royal Mail"
"SH11898","BN16 4DQ","UPS"
"SH11899","NG25 0LE","DHL"
"SH11900","NP10 9LE","Evri"
"SH11901","W9 1QB","Royal Mail"
"SH11902","RG27 8FL","UPS"
"SH11903","DY11 6SA","DHL"
"SH11904","M26 2GN","FedEx"
"SH11905","CB4 2AL","Evri"
"SH11906","EH4 2UL","FedEx"
"SH11907","TN17 3ET","Evri"
"SH11908","N10 9BU","Evri"
"SH11909","NN29 7EE","DHL"
"SH11910","CO16 8RG","Royal Mail"
"SH11911","GU22 2RA","UPS"
"SH11912","L31 8DE","FedEx"
"SH11913","PE29 3SA","UPS"
"SH11914","TN4 8DB","Evri"
"SH11915","BT23 8JU","DHL"
"SH11916","EX5 4PN","DHL"
"SH11917","B5 7RS","FedEx"
"SH11918","SK9 7LF","DHL"
"SH11919","G46 7HW","Royal Mail"
"SH11920","KA29 0DG","UPS"
"SH11921","SN10 5SP","Evri"
"SH11922","HA0 3AY","FedEx"
"SH11923","PO2 8LF","Royal Mail"
"SH11924","SN10 2AB","Evri"
"SH11925","RM8 1YR","Evri"
"SH11926","SA11 1DW","UPS"
"SH11927","PE38 0NE","Royal Mail"
"SH11928","BH11 9DY","FedEx"
"SH11929","WF2 0RG","Evri"
"SH11930","G1 1XW","UPS"
"SH11931","RG8 8DE","FedEx"
"SH11932","TQ13 9GG","DHL"
"SH11933","BH19 3ED","DHL"
"SH11934","WS1 2HT","Royal Mail"
"SH11935","BN1 8NR","FedEx"
"SH11936","CH43 5UX","Evri"
"SH11937","B31 2RJ","UPS"
"SH11938","N3 1SP","FedEx"
"SH11939","NG23 5TW","DHL"
"SH11940","BH22 9LD","UPS"
"SH11941","G64 3NZ","DHL"
"SH11942","UB6 9QH","FedEx"
"SH11943","BT13 3NQ","DHL"
"SH11944","SO17 3ST","UPS"
"SH11945","CO7 7AS","UPS"
"SH11946","BT4 3EB","DHL"
"SH11947","HP17 8JL","FedEx"
"SH11948","TR20 9QU","Royal Mail"
"SH11949","AB13 0JX","UPS"
"SH11950","B66 3TD","FedEx"
"SH11951","GL15 5LA","Evri"
"SH11952","OX10 8FW","Evri"
"SH11953","CM15 9PA","FedEx"
"SH11954","BN8 5BW","DHL"
"SH11955","S40 4ET","Royal Mail"
"SH11956","EX2 6BR","DHL"
"SH11957","KY1 1BU","Evri"
"SH11958","EX34 9ER","Royal Mail"
"SH11959","RG6 3AH","DHL"
"SH11960","HX6 3HB","FedEx"
"SH11961","TF1 2LQ","FedEx"
"SH11962","NP19 9EB","Evri"
"SH11963","B23 6PL","Evri"
"SH11964","S1 2BJ","DHL"
"SH11965","BT93 1GL","Evri"
"SH11966","TF2 9XA","Royal Mail"
"SH11967","TQ1 9SB","Evri"
"SH11968","TA7 0NY","Evri"
"SH11969","MK3 7RW","FedEx"
"SH11970","E7 8AD","DHL"
"SH11971","S44 5NL","Evri"
"SH11972","CM5 0PY","FedEx"
"SH11973","SL4 3DD","DHL"
"SH11974","OX16 0SX","FedEx"
"SH11975","WA7 4ST","UPS"
"SH11976","LE2 8BF","Evri"
"SH11977","OX4 1GW","DHL"
"SH11978","RH17 5DG","Royal Mail"
"SH11979","TQ3 2DL","Royal Mail"
"SH11980","OL4 1EE","DHL"
"SH11981","BD1 4EH","FedEx"
"SH11982","GL3 4PL","DHL"
"SH11983","CF62 3LA","FedEx"
"SH11984","YO42 4TW","FedEx"
"SH11985","PL12 6JN","Royal Mail"
"SH11986","G46 6UL","UPS"
"SH11987","SP11 9AL","Evri"
"SH11988","EH23 4PD","FedEx"
"SH11989","CM2 6BL","DHL"
"SH11990","BA12 9NF","UPS"
"SH11991","EC1R 4UR","Royal Mail"
"SH11992","PL30 4BT","Evri"
"SH11993","BS21 6ER","Royal Mail"
"SH11994","CM3 5FW","UPS"
"SH11995","S73 0SQ","Royal Mail"
"SH11996","M24 5LY","FedEx"
"SH11997","GU6 7SP","Evri"
"SH11998","CF23 6QP","FedEx"
"SH11999","HA9 6LP","DHL"
"SH12000","NP22 3TH","Evri"
